ATOM FIELD,N/A,Channel Name,N/A,N/A,N/A,N/A,Service Key,Gracenote ID,Light Logo Key,Dark Logo Key,N/A,Logo Style,Enabled,Content Segment,Section Navigation,Classification,Format Type,Rating,Channel Description,Channel Colour,Privacy Restrictions,Advisory ,Experiment,Experiment Variant,titleArt169,keyArt169
,109,WPTA,"Gray Media Group, Inc.",WPTA,Ft. Wayne,In Progress,5692360465038835117,95919,skychb_5692360465038835117_darknow,skychb_5692360465038835117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,110,KETK-TV,Nexstar Inc.,KETK-TV,Tyler-Longview(Lfkn&Ncgd),In Progress,5106761369241830117,10447,skychb_5106761369241830117_darknow,skychb_5106761369241830117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,111,KDLT-TV,"Gray Media Group, Inc.",KDLT-TV,"Sioux Falls (Mitchell), SD",In Progress,7484000085672307117,10406,skychb_7484000085672307117_darknow,skychb_7484000085672307117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,112,WAGT-CD,"Gray Media Group, Inc.",WAGT-CD,"Augusta-Aiken, GA",In Progress,6375980649867478117,11271,skychb_6375980649867478117_darknow,skychb_6375980649867478117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,113,KVLY-TV,"Gray Media Group, Inc.",KVLY-TV,"Fargo-Valley City, ND",In Progress,8325844643201170117,12406,skychb_8325844643201170117_darknow,skychb_8325844643201170117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,114,WILX-TV,"Gray Media Group, Inc.",WILX-TV,"Lansing, MI",In Progress,8650786098275097117,11550,skychb_8650786098275097117_darknow,skychb_8650786098275097117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,115,WWLP,Nexstar Inc.,WWLP,"Springfield-Holyoke, MA",In Progress,8278725703499237117,11981,skychb_8278725703499237117_darknow,skychb_8278725703499237117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,116,KMTR,"KMTR TELEVISION, LLC (Roberts Media, LLC)",KMTR,"Eugene, OR",In Progress,8054061539960132117,10583,skychb_8054061539960132117_darknow,skychb_8054061539960132117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,117,KNDO,Cowles Company,KNDO,"Yakima-Pasco-Kennewick, WA",In Progress,7467156398320682117,10591,skychb_7467156398320682117_darknow,skychb_7467156398320682117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,118,WPBN-TV,"Sinclair Television Group, Inc.",WPBN-TV,"Traverse City-Cadillac, MI",In Progress,6116663560520765117,92771,skychb_6116663560520765117_darknow,skychb_6116663560520765117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,119,WFMJ-TV,"WFMJ Television, Inc.",WFMJ-TV,"Youngstown, OH",In Progress,4977431009197407117,11441,skychb_4977431009197407117_darknow,skychb_4977431009197407117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,120,WMGT-TV,"Morris Network, Inc.",WMGT-TV,"Macon, GA",In Progress,6406990076578298117,11689,skychb_6406990076578298117_darknow,skychb_6406990076578298117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,121,WEEK,"Gray Media Group, Inc.",WEEK,"Peoria-Bloomington, IL ",In Progress,7245652222154153117,11410,skychb_7245652222154153117_darknow,skychb_7245652222154153117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,122,KSBY,E.W. Scripps Company ,KSBY,SANTABARBRA-SANMAR-SANLUOB,In Progress,7270103739534302117,10681,skychb_7270103739534302117_darknow,skychb_7270103739534302117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,123,WSFA,"Gray Media Group, Inc.",WSFA,"Montgomery-Selma, AL",In Progress,7790256712002731117,11839,skychb_7790256712002731117_darknow,skychb_7790256712002731117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,124,KLAF-LD,Allen Media Broadcasting LLC ,KLAF-LD,"Lafayette, LA",In Progress,8465578740836917117,95644,skychb_8465578740836917117_darknow,skychb_8465578740836917117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,125,KGET-TV,Nexstar Inc.,KGET-TV,Bakersfield,In Progress,6940582398075796117,10473,skychb_6940582398075796117_darknow,skychb_6940582398075796117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,126,KSBW,"Hearst Television, Inc.",KSBW,Monterey-Salinas,In Progress,6015551527006536117,10680,skychb_6015551527006536117_darknow,skychb_6015551527006536117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,127,WLTZ,SagamoreHill Broadcasting  ,WLTZ,"Columbus, GA (Opelika, AL)",In Progress,7997899092454404117,11656,skychb_7997899092454404117_darknow,skychb_7997899092454404117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,128,WECT,"Gray Media Group, Inc.",WECT,"Wilmington, NC",In Progress,6358675955083944117,11404,skychb_6358675955083944117_darknow,skychb_6358675955083944117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,129,WEAU-TV,"Gray Media Group, Inc.",WEAU-TV,"La Crosse-Eau Claire, WI",In Progress,7829709504588804117,11402,skychb_7829709504588804117_darknow,skychb_7829709504588804117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,130,KRIS-TV,E.W. Scripps Company ,KRIS-TV,Corpus Christi,In Progress,5995128853896141117,10666,skychb_5995128853896141117_darknow,skychb_5995128853896141117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,131,WTVA,Allen Media Broadcasting LLC ,WTVA,"Columbus-Tupelo-West Point, MS",In Progress,7551851853328603117,12467,skychb_7551851853328603117_darknow,skychb_7551851853328603117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,132,KAMR-TV,Nexstar Inc.,KAMR-TV,Amarillo,In Progress,9029480695378031117,10325,skychb_9029480695378031117_darknow,skychb_9029480695378031117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,133,KNVN,"Maxair Media, LLC",KNVN,"Chico-Redding, CA",In Progress,6897848793065751117,10386,skychb_6897848793065751117_darknow,skychb_6897848793065751117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,134,WJFW-TV,Rockfleet Broadcasting,WJFW-TV,Wausau-Rhinelander,In Progress,8286744087204885117,11576,skychb_8286744087204885117_darknow,skychb_8286744087204885117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,135,KOBI,"California-Oregon Broadcasting, Inc.",KOBI,"Medford, OR",In Progress,6438535157203186117,10610,skychb_6438535157203186117_darknow,skychb_6438535157203186117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,136,KOMU-TV,Curators of the University of Missouri,KOMU-TV,"Columbia-Jefferson City, MO",In Progress,5304208658026030117,12429,skychb_5304208658026030117_darknow,skychb_5304208658026030117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,137,WRDE-LD,"WBOC, Inc. (sub. Of Draper)",WRDE-LD,Salisbury,In Progress,6278215239607041117,61560,skychb_6278215239607041117_darknow,skychb_6278215239607041117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,138,KWES-TV,TEGNA INC.,KWES-TV,"Midland-Odessa, TX",In Progress,8820826625334630117,10730,skychb_8820826625334630117_darknow,skychb_8820826625334630117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,139,WREX-TV,Allen Media Broadcasting LLC ,WREX-TV,Rockford,In Progress,7030980957071806117,11817,skychb_7030980957071806117_darknow,skychb_7030980957071806117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,140,KFYR-TV,"Gray Media Group, Inc.",KFYR-TV,"Minot-Bismark-Dickinson, ND",In Progress,7840415447954505117,10471,skychb_7840415447954505117_darknow,skychb_7840415447954505117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,141,KBJR,"Gray Media Group, Inc.",KBJR,Duluth-Superior,In Progress,6921318133304004117,10348,skychb_6921318133304004117_darknow,skychb_6921318133304004117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,142,KSNT,Nexstar Inc.,KSNT,"Topeka, KS",In Progress,8379448464527568117,33503,skychb_8379448464527568117_darknow,skychb_8379448464527568117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,143,KMIR-TV,Entravision,KMIR-TV,"Palm Springs, CA",In Progress,8754167448322998117,10569,skychb_8754167448322998117_darknow,skychb_8754167448322998117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,144,KTVE,"Mission Broadcasting, Inc.",KTVE,Monroe-El Dorado,In Progress,5387932526810493117,12356,skychb_5387932526810493117_darknow,skychb_5387932526810493117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,145,KJAC  KBMT-2,TEGNA INC.,KJAC  KBMT-2   (a/k/a KJAC),"Beaumont-Port Arthur, TX",In Progress,7322065857220140117,62398,skychb_7322065857220140117_darknow,skychb_7322065857220140117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,146,KCBD,"Gray Media Group, Inc.",KCBD,"Lubbock, TX",In Progress,5252958713590698117,10366,skychb_5252958713590698117_darknow,skychb_5252958713590698117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,147,KTUU-TV,"Gray Media Group, Inc.",KTUU-TV,"Anchorage, AK",In Progress,8936546216443362117,10745,skychb_8936546216443362117_darknow,skychb_8936546216443362117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,148,KTIV,"Gray Media Group, Inc.",KTIV,Sioux City,In Progress,9167811237974157117,86921,skychb_9167811237974157117_darknow,skychb_9167811237974157117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,149,KFDX-TV,Nexstar Inc.,KFDX-TV,Wichita Falls & Lawton,In Progress,7481418172802553117,12460,skychb_7481418172802553117_darknow,skychb_7481418172802553117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,150,WICU-TV,SJL Communications,WICU-TV,"Erie, PA",In Progress,7066787456855440117,11543,skychb_7066787456855440117_darknow,skychb_7066787456855440117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,151,KTTC,"Gray Media Group, Inc.",KTTC,Rochester-Mason City-Austin,In Progress,4933179262903859117,10739,skychb_4933179262903859117_darknow,skychb_4933179262903859117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,152,KSNF,Nexstar Inc.,KSNF,Joplin-Pittsburg,In Progress,4817752534230909117,12435,skychb_4817752534230909117_darknow,skychb_4817752534230909117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,153,WJHG-TV,"Gray Media Group, Inc.",WJHG-TV,"Panama City, FL",In Progress,8487811676057417117,11577,skychb_8487811676057417117_darknow,skychb_8487811676057417117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,154,WLBZ,TEGNA INC.,WLBZ,"Bangor, ME",In Progress,6124716263471048117,11635,skychb_6124716263471048117_darknow,skychb_6124716263471048117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,155,KPVI,Cox Media Group,KPVI,"Idaho Falls-Pocatello, ID",In Progress,7528331975429661117,12454,skychb_7528331975429661117_darknow,skychb_7528331975429661117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
,156,WTWO,Nexstar Inc.,WTWO,Terre Haute,In Progress,6487466187219163117,11928,skychb_6487466187219163117_darknow,skychb_6487466187219163117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,
