ATOM FIELD,N/A,Channel Name,N/A,N/A,N/A,N/A,Service Key,Gracenote ID,Light Logo Key,Dark Logo Key,N/A,Logo Style,Enabled,Content Segment,Section Navigation,Classification,Format Type,Rating,Channel Description,Channel Colour,Privacy Restrictions,Advisory ,Experiment,Experiment Variant,titleArt169,keyArt169,
,0,WVGN-LP,LKK Group Corp.,WVGN-LP,"Charlotte Amalie, US Virgin Islands",In Progress,7063223479634213117,77909,skychb_7063223479634213117_darknow,skychb_7063223479634213117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,1,WNBC,NBC Universal,WNBC,New York,In Progress,9137152191577740117,11705,skychb_9137152191577740117_darknow,skychb_9137152191577740117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,2,KNBC,NBC Universal,KNBC,Los Angeles,In Progress,6285326806430887117,10590,skychb_6285326806430887117_darknow,skychb_6285326806430887117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,3,WMAQ-TV,NBC Universal,WMAQ-TV,Chicago,In Progress,5803264295773409117,11670,skychb_5803264295773409117_darknow,skychb_5803264295773409117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,4,WCAU,NBC Universal,WCAU,Philadelphia,In Progress,7070864115006330117,11326,skychb_7070864115006330117_darknow,skychb_7070864115006330117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,5,KXAS-TV,NBC Universal,KXAS-TV,Dallas-Ft. Worth,In Progress,6207143419709432117,10830,skychb_6207143419709432117_darknow,skychb_6207143419709432117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,6,WXIA-TV,TEGNA INC.,WXIA-TV,Atlanta,In Progress,5401446705201714117,11993,skychb_5401446705201714117_darknow,skychb_5401446705201714117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,7,WRC-TV,NBC Universal,WRC-TV,Washington DC (Hagrstwn),In Progress,5079751747778553117,11811,skychb_5079751747778553117_darknow,skychb_5079751747778553117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,8,KNTV (KICU),NBC Universal,KNTV (KICU),San Francisco/Oakland/ San Jose,In Progress,7736301118256940117,10600,skychb_7736301118256940117_darknow,skychb_7736301118256940117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,9,KPRC-TV,Graham Media Group      ,KPRC-TV,Houston,In Progress,9190651779263468117,10647,skychb_9190651779263468117_darknow,skychb_9190651779263468117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,10,WBTS-LD,NBC Universal,WBTS-LD,"Boston, MA (Manchester)",In Progress,5429335914750893117,91446,skychb_5429335914750893117_darknow,skychb_5429335914750893117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,11,KING-TV,TEGNA INC.,KING-TV,Seattle-Tacoma,In Progress,5912889190413512117,10518,skychb_5912889190413512117_darknow,skychb_5912889190413512117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,12,KPNX | KNAZ-TV (Flagstaff),TEGNA INC.,KPNX | KNAZ-TV (Flagstaff),Phoenix (Prescott),In Progress,7444338281570061117,10645,skychb_7444338281570061117_darknow,skychb_7444338281570061117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,13,WFLA-TV,Nexstar Inc.,WFLA-TV,"Tampa-St. Pete (Sarasota), FL",In Progress,8453801660570823117,11437,skychb_8453801660570823117_darknow,skychb_8453801660570823117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,14,KARE,TEGNA INC.,KARE,Minneapolis-St. Paul,In Progress,6751709690595948117,10328,skychb_6751709690595948117_darknow,skychb_6751709690595948117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,15,WDIV-TV,Graham Media Group      ,WDIV-TV,Detroit,In Progress,8076796986326985117,11387,skychb_8076796986326985117_darknow,skychb_8076796986326985117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,16,KUSA-TV,TEGNA INC.,KUSA-TV,"Denver, CO",In Progress,7595070687073675117,10780,skychb_7595070687073675117_darknow,skychb_7595070687073675117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,17,WESH,"Hearst Television, Inc.",WESH,Orlando-Daytona Beach-Melbourne,In Progress,5259282183447537117,11420,skychb_5259282183447537117_darknow,skychb_5259282183447537117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,18,WTVJ,NBC Universal,WTVJ,Miami-Ft. Lauderdale,In Progress,8991823756668103117,11916,skychb_8991823756668103117_darknow,skychb_8991823756668103117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,19,WKYC-TV,TEGNA INC.,WKYC-TV,Cleveland-Akron (Canton),In Progress,7474968675785297117,20492,skychb_7474968675785297117_darknow,skychb_7474968675785297117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,20,KCRA-TV,"Hearst Television, Inc.",KCRA-TV,Sacramento-Stockton-Modesto,In Progress,6755381953569626117,10388,skychb_6755381953569626117_darknow,skychb_6755381953569626117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,21,KGW,TEGNA INC.,KGW,"Portland, OR",In Progress,8302976068203989117,10483,skychb_8302976068203989117_darknow,skychb_8302976068203989117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,22,WCNC-TV,TEGNA INC.,WCNC-TV,"Charlotte, NC",In Progress,5469165937496566117,11358,skychb_5469165937496566117_darknow,skychb_5469165937496566117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,23,KSDK,TEGNA INC.,KSDK,"St. Louis, MO",In Progress,6194870283913204117,10685,skychb_6194870283913204117_darknow,skychb_6194870283913204117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,24,WRAL-TV,"Capitol Broadcasting Company, Inc.",WRAL-TV,"Raleigh-Durham-Fayetteville, NC",In Progress,6666349370285592117,11809,skychb_6666349370285592117_darknow,skychb_6666349370285592117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,25,WTHR-TV,TEGNA INC.,WTHR-TV,"Indianapolis, IN",In Progress,4860891476281643117,11877,skychb_4860891476281643117_darknow,skychb_4860891476281643117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,26,WPXI-TV,Cox Media Group,WPXI-TV,"Pittsburgh, PA",In Progress,8989191913608556117,12125,skychb_8989191913608556117_darknow,skychb_8989191913608556117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
